"Symbol","Date","BuyPeak","LastClose","Buytext","buypoint"
"AAN","05/14/2009","30.4395","30","Slips on light trade, but still 12% past 28.99 buy point.","28.99"
"AAP","12/07/2010","72.4290","68.52","A few days shy of a square box base with 68.98 buy point.","68.98"
"AAP","12/08/2010","72.4290","67.22","A few days shy of a square box base with 68.98 buy point.","68.98"
"AAP","12/09/2010","72.4290","67.68","A few days shy of a square box base with 68.98 buy point.","68.98"
"AAP","12/10/2010","72.4290","67.86","A few days shy of a square box base with 68.98 buy point.","68.98"
"AAP","12/11/2010","72.4290","67.96","A few days shy of a square box base with 68.98 buy point.","68.98"
"AAP","12/12/2010","72.4290","67.96","A few days shy of a square box base with 68.98 buy point.","68.98"
"AAP","12/13/2010","72.4290","67.96","Clears 68.98 square-box buy point, then eases below it.","68.98"
"AAP","12/14/2010","72.4290","67.96","Clears 68.98 square-box buy point, then eases below it.","68.98"
"AAP","12/15/2010","72.4290","68.01","Clears 68.98 square-box buy point, then eases below it.","68.98"
"AAP","12/16/2010","72.4290","67.8","Clears 68.98 square-box buy point, then eases below it.","68.98"
"AAP","12/22/2010","72.4290","66.76","Breakout from 68.98 square-box buy point goes in reverse.","68.98"
"AAP","12/23/2010","72.4290","66.58","Breakout from 68.98 square-box buy point goes in reverse.","68.98"
"AAP","12/24/2010","72.4290","66.6","Breakout from 68.98 square-box buy point goes in reverse.","68.98"
"AAP","12/25/2010","72.4290","66.6","Breakout from 68.98 square-box buy point goes in reverse.","68.98"
"AAP","12/26/2010","72.4290","66.6","Breakout from 68.98 square-box buy point goes in reverse.","68.98"
"AAP","12/27/2010","72.4290","66.6","Tests support at 10-week; below 68.98 square-box buy point.","68.98"
"AAP","12/28/2010","72.4290","66.43","Tests support at 10-week; below 68.98 square-box buy point.","68.98"
"AAP","12/29/2010","72.4290","66.26","Tests support at 10-week; below 68.98 square-box buy point.","68.98"
"AAP","12/31/2010","72.4290","66.74","Tests support at 10-week; below 68.98 square-box buy point.","68.98"
"AAP","01/01/2011","72.4290","66.15","Tests support at 10-week; below 68.98 square-box buy point.","68.98"
"AAP","01/02/2011","72.4290","66.15","Tests support at 10-week; below 68.98 square-box buy point.","68.98"
"AAP","12/22/2011","74.655","68.5","Newhandleforms with buypoint of71.10.","71.1"
"AAP","12/23/2011","74.655","69.34","Newhandleforms with buypoint of71.10.","71.1"
"AAP","12/24/2011","74.655","70.26","Newhandleforms with buypoint of71.10.","71.1"
"AAP","12/25/2011","74.655","70.26","Newhandleforms with buypoint of71.10.","71.1"
"AAP","12/26/2011","74.655","70.26","Newhandleforms with buypoint of71.10.","71.1"
"AAP","12/27/2011","74.655","70.26","Longhandleforming with buypoint of71.10.","71.1"
"AAP","12/28/2011","74.655","70.96","Longhandleforming with buypoint of71.10.","71.1"
"AAP","12/29/2011","74.655","70.26","Longhandleforming with buypoint of71.10.","71.1"
"AAP","12/30/2011","74.655","70.34","Longhandleforming with buypoint of71.10.","71.1"
"AAP","12/31/2011","74.655","69.61","Longhandleforming with buypoint of71.10.","71.1"
"AAP","01/01/2012","74.655","69.61","Longhandleforming with buypoint of71.10.","71.1"
"AAP","01/02/2012","74.655","69.61","Longhandleforming with buypoint of71.10.","71.1"
"AAP","01/03/2012","74.655","69.61","Backunder 71.10buy pointafterpoking aboveinlow volume.","71.1"
"AAP","01/04/2012","74.655","69.11","Backunder 71.10buy pointafterpoking aboveinlow volume.","71.1"
"AAP","01/05/2012","74.655","70.69","Backunder 71.10buy pointafterpoking aboveinlow volume.","71.1"
"AAP","01/06/2012","74.655","71.2","Backunder 71.10buy pointafterpoking aboveinlow volume.","71.1"
"AAP","01/07/2012","74.655","71.52","Backunder 71.10buy pointafterpoking aboveinlow volume.","71.1"
"AAP","01/08/2012","74.655","71.52","Backunder 71.10buy pointafterpoking aboveinlow volume.","71.1"
"AAP","01/09/2012","74.655","71.52","Clears71.10buy point;undercut resetsto stage1.","71.1"
"AAP","01/10/2012","74.655","71.4599","Clears71.10buy point;undercut resetsto stage1.","71.1"
"AAP","01/11/2012","74.655","71.54","Clears71.10buy point;undercut resetsto stage1.","71.1"
"AAP","01/12/2012","74.655","72.03","Clears71.10buy point;undercut resetsto stage1.","71.1"
"AAP","01/13/2012","74.655","71.64","Clears71.10buy point;undercut resetsto stage1.","71.1"
"AAP","01/14/2012","74.655","71.48","Clears71.10buy point;undercut resetsto stage1.","71.1"
"AAP","01/15/2012","74.655","71.48","Clears71.10buy point;undercut resetsto stage1.","71.1"
"AAP","01/16/2012","74.655","71.48","Clears71.10buy point;undercut resetsto stage1.","71.1"
"AAP","01/17/2012","74.655","71.48","1%above 71.10trigger.Volume kicksinlate.","71.1"
"AAP","01/18/2012","74.655","72.1","1%above 71.10trigger.Volume kicksinlate.","71.1"
